"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4625","Handle Multiple Tabs","chromium","Mon Mar 31 13:29:47 IST 2025","passed","Mon Mar 31 13:29:51 IST 2025","","tabs.spec.js","",""
"","1958","File Uploade","chromium","Mon Mar 31 13:29:13 IST 2025","passed","Mon Mar 31 13:29:15 IST 2025","","keyboardevent.spec.js","",""
"","535","My Third Test","webkit","Mon Mar 31 13:33:34 IST 2025","passed","Mon Mar 31 13:33:34 IST 2025","","sample.spec.js","",""
"","390","My First Test","webkit","Mon Mar 31 13:33:33 IST 2025","passed","Mon Mar 31 13:33:33 IST 2025","","sample.spec.js","",""
"","172","My First Test","chromium","Mon Mar 31 13:29:46 IST 2025","passed","Mon Mar 31 13:29:46 IST 2025","","sample.spec.js","",""
"","30054","Valid Login","chromium","Mon Mar 31 13:29:15 IST 2025","broken","Mon Mar 31 13:29:45 IST 2025","","login.spec.js","",""
"","14463","File Uploade","firefox","Mon Mar 31 13:31:13 IST 2025","passed","Mon Mar 31 13:31:27 IST 2025","","keyboardevent.spec.js","",""
"","6141","Handle Multiple Tabs","webkit","Mon Mar 31 13:33:34 IST 2025","passed","Mon Mar 31 13:33:41 IST 2025","","tabs.spec.js","",""
"","3245","Handle Prompt Box","chromium","Mon Mar 31 13:28:58 IST 2025","passed","Mon Mar 31 13:29:01 IST 2025","","alert.spec.js","",""
"","3","My Second Test","firefox","Mon Mar 31 13:31:42 IST 2025","skipped","Mon Mar 31 13:31:42 IST 2025","","sample.spec.js","",""
"","3635","Handle Prompt Box","webkit","Mon Mar 31 13:32:31 IST 2025","passed","Mon Mar 31 13:32:35 IST 2025","","alert.spec.js","",""
"","6726","File Uploade","firefox","Mon Mar 31 13:30:59 IST 2025","failed","Mon Mar 31 13:31:06 IST 2025","","Fileupload.spec.js","",""
"","2427","Handle IFrame","chromium","Mon Mar 31 13:29:10 IST 2025","passed","Mon Mar 31 13:29:13 IST 2025","","iframe.spec.js","",""
"","3565","Handle Confirm Message","webkit","Mon Mar 31 13:32:27 IST 2025","passed","Mon Mar 31 13:32:31 IST 2025","","alert.spec.js","",""
"","1196","Valid Login","chromium","Mon Mar 31 13:29:01 IST 2025","passed","Mon Mar 31 13:29:02 IST 2025","","dropdown.spec.js","",""
"","5761","Handle Multiple Tabs","firefox","Mon Mar 31 13:31:44 IST 2025","passed","Mon Mar 31 13:31:50 IST 2025","","tabs.spec.js","",""
"","6474","auto suggestion keyboard","webkit","Mon Mar 31 13:32:35 IST 2025","passed","Mon Mar 31 13:32:41 IST 2025","","autosuggest.spec.js","",""
"","3847","Handle Prompt Box","firefox","Mon Mar 31 13:30:34 IST 2025","passed","Mon Mar 31 13:30:38 IST 2025","","alert.spec.js","",""
"","127","My Third Test","chromium","Mon Mar 31 13:29:46 IST 2025","passed","Mon Mar 31 13:29:46 IST 2025","","sample.spec.js","",""
"","7456","Mouse Hover","chromium","Mon Mar 31 13:29:33 IST 2025","passed","Mon Mar 31 13:29:40 IST 2025","","Mousehover.spec.js","",""
"","30076","Valid Login","webkit","Mon Mar 31 13:33:01 IST 2025","broken","Mon Mar 31 13:33:31 IST 2025","","login.spec.js","",""
"","5176","Google Verify Title","firefox","Mon Mar 31 13:31:01 IST 2025","passed","Mon Mar 31 13:31:06 IST 2025","","google.spec.js","",""
"","30082","Auto Generated Code","chromium","Mon Mar 31 13:29:01 IST 2025","broken","Mon Mar 31 13:29:31 IST 2025","","codegen.spec.js","",""
"","4876","Handle IFrame","firefox","Mon Mar 31 13:31:06 IST 2025","passed","Mon Mar 31 13:31:11 IST 2025","","iframe.spec.js","",""
"","712","My Fourth Test","firefox","Mon Mar 31 13:31:43 IST 2025","passed","Mon Mar 31 13:31:44 IST 2025","","sample.spec.js","",""
"","30057","Read Data From JAson File","webkit","Mon Mar 31 13:33:26 IST 2025","broken","Mon Mar 31 13:33:56 IST 2025","","Readdatajson.spec.js","",""
"","5152","auto suggestion keyboard","firefox","Mon Mar 31 13:30:38 IST 2025","passed","Mon Mar 31 13:30:43 IST 2025","","autosuggest.spec.js","",""
"","2","My Second Test","chromium","Mon Mar 31 13:29:46 IST 2025","skipped","Mon Mar 31 13:29:46 IST 2025","","sample.spec.js","",""
"","2409","Google Verify Title","chromium","Mon Mar 31 13:29:08 IST 2025","passed","Mon Mar 31 13:29:10 IST 2025","","google.spec.js","",""
"","3057","Google Verify Title","webkit","Mon Mar 31 13:32:50 IST 2025","passed","Mon Mar 31 13:32:53 IST 2025","","google.spec.js","",""
"","30383","Wait For Load State","firefox","Mon Mar 31 13:32:07 IST 2025","broken","Mon Mar 31 13:32:37 IST 2025","","waitforloadstate.spec.js","",""
"","3940","Handle Alert Message","chromium","Mon Mar 31 13:28:53 IST 2025","passed","Mon Mar 31 13:28:57 IST 2025","","alert.spec.js","",""
"","30374","Verify Error Message","firefox","Mon Mar 31 13:31:50 IST 2025","broken","Mon Mar 31 13:32:20 IST 2025","","VerifyErrorMessage.spec.js","",""
"","30243","Read Data From JAson File","chromium","Mon Mar 31 13:29:40 IST 2025","broken","Mon Mar 31 13:30:11 IST 2025","","Readdatajson.spec.js","",""
"","4085","File Uploade","chromium","Mon Mar 31 13:29:02 IST 2025","failed","Mon Mar 31 13:29:06 IST 2025","","Fileupload.spec.js","",""
"","3920","Handle Confirm Message","firefox","Mon Mar 31 13:30:30 IST 2025","passed","Mon Mar 31 13:30:34 IST 2025","","alert.spec.js","",""
"","30210","Read Data From JAson File","firefox","Mon Mar 31 13:31:32 IST 2025","broken","Mon Mar 31 13:32:03 IST 2025","","Readdatajson.spec.js","",""
"","30068","Auto Generated Code","webkit","Mon Mar 31 13:32:42 IST 2025","broken","Mon Mar 31 13:33:12 IST 2025","","codegen.spec.js","",""
"","17439","Auto Generated Code","firefox","Mon Mar 31 13:30:43 IST 2025","passed","Mon Mar 31 13:31:00 IST 2025","","codegen.spec.js","",""
"","4119","Handle Alert Message","webkit","Mon Mar 31 13:32:23 IST 2025","passed","Mon Mar 31 13:32:27 IST 2025","","alert.spec.js","",""
"","524","My First Test","firefox","Mon Mar 31 13:31:42 IST 2025","passed","Mon Mar 31 13:31:42 IST 2025","","sample.spec.js","",""
"","12403","Mouse Hover","firefox","Mon Mar 31 13:31:30 IST 2025","passed","Mon Mar 31 13:31:42 IST 2025","","Mousehover.spec.js","",""
"","30279","Verify Error Message","chromium","Mon Mar 31 13:29:51 IST 2025","broken","Mon Mar 31 13:30:21 IST 2025","","VerifyErrorMessage.spec.js","",""
"","11244","Valid Login","firefox","Mon Mar 31 13:30:46 IST 2025","passed","Mon Mar 31 13:30:57 IST 2025","","dropdown.spec.js","",""
"","5651","File Uploade","webkit","Mon Mar 31 13:32:43 IST 2025","failed","Mon Mar 31 13:32:49 IST 2025","","Fileupload.spec.js","",""
"","30076","Wait For Load State","webkit","Mon Mar 31 13:33:58 IST 2025","broken","Mon Mar 31 13:34:28 IST 2025","","waitforloadstate.spec.js","",""
"","3499","auto suggestion keyboard","chromium","Mon Mar 31 13:28:58 IST 2025","passed","Mon Mar 31 13:29:01 IST 2025","","autosuggest.spec.js","",""
"","11948","Mouse Hover","webkit","Mon Mar 31 13:33:14 IST 2025","passed","Mon Mar 31 13:33:26 IST 2025","","Mousehover.spec.js","",""
"","1","My Second Test","webkit","Mon Mar 31 13:33:34 IST 2025","skipped","Mon Mar 31 13:33:34 IST 2025","","sample.spec.js","",""
"","5814","Handle Alert Message","firefox","Mon Mar 31 13:30:23 IST 2025","passed","Mon Mar 31 13:30:29 IST 2025","","alert.spec.js","",""
"","101","My Fourth Test","chromium","Mon Mar 31 13:29:46 IST 2025","passed","Mon Mar 31 13:29:47 IST 2025","","sample.spec.js","",""
"","30415","Wait For Load State","chromium","Mon Mar 31 13:30:13 IST 2025","broken","Mon Mar 31 13:30:43 IST 2025","","waitforloadstate.spec.js","",""
"","240","My Fourth Test","webkit","Mon Mar 31 13:33:34 IST 2025","passed","Mon Mar 31 13:33:34 IST 2025","","sample.spec.js","",""
"","3969","Handle Confirm Message","chromium","Mon Mar 31 13:28:53 IST 2025","passed","Mon Mar 31 13:28:57 IST 2025","","alert.spec.js","",""
"","2098","Valid Login","webkit","Mon Mar 31 13:32:41 IST 2025","passed","Mon Mar 31 13:32:43 IST 2025","","dropdown.spec.js","",""
"","30080","Verify Error Message","webkit","Mon Mar 31 13:33:41 IST 2025","broken","Mon Mar 31 13:34:11 IST 2025","","VerifyErrorMessage.spec.js","",""
"","552","My Third Test","firefox","Mon Mar 31 13:31:43 IST 2025","passed","Mon Mar 31 13:31:43 IST 2025","","sample.spec.js","",""
"","3334","Handle IFrame","webkit","Mon Mar 31 13:32:53 IST 2025","passed","Mon Mar 31 13:32:57 IST 2025","","iframe.spec.js","",""
"","4706","File Uploade","webkit","Mon Mar 31 13:32:57 IST 2025","passed","Mon Mar 31 13:33:01 IST 2025","","keyboardevent.spec.js","",""
"","21655","Valid Login","firefox","Mon Mar 31 13:31:11 IST 2025","passed","Mon Mar 31 13:31:32 IST 2025","","login.spec.js","",""
